-100.00,-95.71,-91.45,-87.22,-83.05,-78.96,-74.97,-71.07,-67.30,-63.65,-60.13,-56.75,-53.51,-50.41,-47.45,-44.64,-41.95,-39.40,-36.99,-34.69,-32.52,-30.46,-28.51,-26.66,-24.92,-23.26,-21.70,-20.22,-18.81,-17.48,-16.22,-15.02,-13.88,-12.80,-11.77,-10.78,-9.84,-8.94,-8.07,-7.24,-6.43,-5.65,-4.90,-4.16,-3.44,-2.74,-2.04,-1.36,-0.68,0.00
-100.00,-95.78,-91.59,-87.43,-83.32,-79.29,-75.34,-71.49,-67.75,-64.13,-60.63,-57.27,-54.04,-50.94,-47.98,-45.16,-42.46,-39.90,-37.47,-35.16,-32.97,-30.89,-28.92,-27.06,-25.29,-23.62,-22.03,-20.53,-19.11,-17.76,-16.48,-15.26,-14.11,-13.01,-11.96,-10.96,-10.00,-9.09,-8.21,-7.36,-6.54,-5.75,-4.98,-4.23,-3.50,-2.78,-2.08,-1.38,-0.69,0.00
-100.00,-95.84,-91.69,-87.58,-83.52,-79.52,-75.61,-71.79,-68.08,-64.48,-61.00,-57.65,-54.42,-51.33,-48.37,-45.54,-42.85,-40.28,-37.83,-35.51,-33.31,-31.21,-29.23,-27.35,-25.57,-23.88,-22.28,-20.77,-19.33,-17.97,-16.68,-15.45,-14.28,-13.17,-12.11,-11.09,-10.12,-9.20,-8.31,-7.45,-6.62,-5.82,-5.04,-4.28,-3.54,-2.82,-2.10,-1.40,-0.70,0.00
-100.00,-95.87,-91.75,-87.67,-83.64,-79.68,-75.79,-71.99,-68.30,-64.71,-61.25,-57.90,-54.68,-51.59,-48.63,-45.80,-43.10,-40.52,-38.07,-35.74,-33.53,-31.43,-29.44,-27.55,-25.76,-24.06,-22.45,-20.93,-19.48,-18.11,-16.81,-15.57,-14.39,-13.27,-12.20,-11.18,-10.21,-9.27,-8.37,-7.51,-6.67,-5.87,-5.08,-4.32,-3.57,-2.84,-2.12,-1.41,-0.70,0.00
-100.00,-95.89,-91.79,-87.72,-83.71,-79.76,-75.88,-72.09,-68.41,-64.83,-61.37,-58.02,-54.81,-51.72,-48.76,-45.93,-43.22,-40.65,-38.19,-35.86,-33.64,-31.54,-29.54,-27.65,-25.85,-24.15,-22.54,-21.01,-19.55,-18.18,-16.87,-15.63,-14.45,-13.32,-12.25,-11.23,-10.25,-9.31,-8.41,-7.54,-6.70,-5.89,-5.10,-4.34,-3.59,-2.85,-2.13,-1.41,-0.71,0.00
-100.00,-95.89,-91.79,-87.72,-83.71,-79.76,-75.88,-72.09,-68.41,-64.83,-61.37,-58.02,-54.81,-51.72,-48.76,-45.93,-43.22,-40.65,-38.19,-35.86,-33.64,-31.54,-29.54,-27.65,-25.85,-24.15,-22.54,-21.01,-19.55,-18.18,-16.87,-15.63,-14.45,-13.32,-12.25,-11.23,-10.25,-9.31,-8.41,-7.54,-6.70,-5.89,-5.10,-4.34,-3.59,-2.85,-2.13,-1.41,-0.71,0.00
-100.00,-95.87,-91.75,-87.67,-83.64,-79.68,-75.79,-71.99,-68.30,-64.71,-61.25,-57.90,-54.68,-51.59,-48.63,-45.80,-43.10,-40.52,-38.07,-35.74,-33.53,-31.43,-29.44,-27.55,-25.76,-24.06,-22.45,-20.93,-19.48,-18.11,-16.81,-15.57,-14.39,-13.27,-12.20,-11.18,-10.21,-9.27,-8.37,-7.51,-6.67,-5.87,-5.08,-4.32,-3.57,-2.84,-2.12,-1.41,-0.70,0.00
-100.00,-95.84,-91.69,-87.58,-83.52,-79.52,-75.61,-71.79,-68.08,-64.48,-61.00,-57.65,-54.42,-51.33,-48.37,-45.54,-42.85,-40.28,-37.83,-35.51,-33.31,-31.21,-29.23,-27.35,-25.57,-23.88,-22.28,-20.77,-19.33,-17.97,-16.68,-15.45,-14.28,-13.17,-12.11,-11.09,-10.12,-9.20,-8.31,-7.45,-6.62,-5.82,-5.04,-4.28,-3.54,-2.82,-2.10,-1.40,-0.70,0.00
-100.00,-95.78,-91.59,-87.43,-83.32,-79.29,-75.34,-71.49,-67.75,-64.13,-60.63,-57.27,-54.04,-50.94,-47.98,-45.16,-42.46,-39.90,-37.47,-35.16,-32.97,-30.89,-28.92,-27.06,-25.29,-23.62,-22.03,-20.53,-19.11,-17.76,-16.48,-15.26,-14.11,-13.01,-11.96,-10.96,-10.00,-9.09,-8.21,-7.36,-6.54,-5.75,-4.98,-4.23,-3.50,-2.78,-2.08,-1.38,-0.69,0.00
-100.00,-95.71,-91.45,-87.22,-83.05,-78.96,-74.97,-71.07,-67.30,-63.65,-60.13,-56.75,-53.51,-50.41,-47.45,-44.64,-41.95,-39.40,-36.99,-34.69,-32.52,-30.46,-28.51,-26.66,-24.92,-23.26,-21.70,-20.22,-18.81,-17.48,-16.22,-15.02,-13.88,-12.80,-11.77,-10.78,-9.84,-8.94,-8.07,-7.24,-6.43,-5.65,-4.90,-4.16,-3.44,-2.74,-2.04,-1.36,-0.68,0.00
